AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Unhealthy,1,43,0,170
Good,1,47,1,36
Unhealthy,3,82,1,155
Good,1,9,1,46
Unhealthy,5,2,11,172
Moderate,1,15,2,64
Good,1,44,1,38
Unhealthy,3,150,1,105
Unhealthy for Sensitive Groups,4,113,9,142
Good,0,13,0,21
Good,1,42,0,47
Good,1,48,1,29
Moderate,1,20,0,54
Moderate,1,44,3,60
Unhealthy,4,8,19,166
Good,0,23,1,27
Good,1,7,1,23
Good,1,13,0,31
Moderate,3,13,9,88
Moderate,2,22,9,90
Good,1,15,0,28
Moderate,1,38,0,51
Unhealthy,1,38,0,170
Good,0,9,1,22
Unhealthy,4,168,1,156
Good,1,40,0,32
Good,1,27,2,47
Moderate,1,32,0,59
Unhealthy for Sensitive Groups,4,23,3,133
Good,1,29,1,7
Moderate,2,2,8,73
Good,0,24,0,50
Good,0,9,1,25
Moderate,3,18,2,90
Moderate,2,26,3,81
Good,0,20,1,29
Good,0,8,1,21
Good,1,16,1,44
Moderate,1,12,0,65
Moderate,2,7,6,66
Moderate,1,28,10,53
Moderate,0,23,0,56
Moderate,1,26,3,57
Moderate,0,35,0,62
Unhealthy,4,167,1,107
Good,1,27,4,49
Moderate,2,25,11,55
Good,1,34,0,32
Moderate,1,25,0,80
Unhealthy,2,92,0,163
Unhealthy for Sensitive Groups,4,3,36,126
Moderate,2,9,22,63
Moderate,2,27,10,53
Moderate,2,38,10,86
Good,2,47,0,25
Moderate,2,25,7,78
Moderate,2,61,0,54
Unhealthy for Sensitive Groups,2,44,4,112
Good,0,6,1,27
Unhealthy,3,155,2,151
Unhealthy for Sensitive Groups,4,24,0,121
Unhealthy,3,138,5,160
Unhealthy for Sensitive Groups,4,109,9,144
Moderate,2,48,0,69
Good,1,34,3,47
Moderate,1,34,4,69
Moderate,3,9,24,84
Moderate,1,32,6,64
Good,1,20,1,10
Good,1,30,3,38
Moderate,1,27,3,59
Moderate,1,30,5,67
Moderate,2,13,16,75
Moderate,2,18,21,60
Good,1,13,0,22
Good,1,36,0,25
Good,1,30,8,41
Good,1,28,2,44
Good,1,26,1,29
Unhealthy,3,168,5,99
Good,1,25,3,23
Good,1,26,4,41
Good,0,33,1,36
Moderate,2,12,0,59
Moderate,0,17,0,98
Good,0,33,2,35
Good,0,29,0,13
Moderate,1,29,3,51
Unhealthy for Sensitive Groups,4,9,6,103
Good,1,35,0,17
Good,1,30,4,35
Good,0,27,2,21
Good,1,39,1,48
Hazardous,1,45,0,307
Moderate,1,25,0,54
Moderate,2,26,16,61
Good,1,36,1,30
Good,1,42,2,37
Good,0,32,1,42
Unhealthy,4,45,4,151
Unhealthy for Sensitive Groups,1,23,0,102
Unhealthy for Sensitive Groups,3,24,2,115
Moderate,1,53,1,64
Good,1,30,2,40
Good,1,45,0,38
Moderate,1,34,0,65
Good,1,13,0,17
Moderate,1,39,1,52
Moderate,1,69,1,60
Good,1,33,1,44
Good,1,41,1,50
Moderate,1,42,1,72
Good,1,49,1,32
Unhealthy for Sensitive Groups,2,65,1,127
Unhealthy for Sensitive Groups,2,125,1,82
Good,1,25,1,41
Moderate,1,34,3,52
Good,1,47,1,44
Good,1,36,3,34
Unhealthy,1,39,0,155
Good,1,19,0,37
Good,1,27,1,46
Moderate,1,42,0,69
Moderate,1,18,12,64
Moderate,2,52,8,92
Moderate,1,43,3,58
Good,1,41,0,38
Good,1,20,0,35
Moderate,2,53,1,88
Good,0,45,0,43
Unhealthy for Sensitive Groups,1,38,0,102
Moderate,1,24,7,58
Unhealthy for Sensitive Groups,2,35,5,143
Unhealthy,2,36,8,187
Good,1,35,0,17
Good,1,35,1,48
Moderate,1,29,6,58
Moderate,1,27,8,65
Moderate,2,66,0,73
Unhealthy,4,36,13,160
Moderate,3,33,9,98
Unhealthy,4,45,10,156
Moderate,2,9,6,75
Unhealthy,4,8,18,163
Good,1,35,0,21
Good,0,30,2,29
Good,1,21,2,47
Moderate,1,37,4,69
Unhealthy for Sensitive Groups,4,15,4,105
Unhealthy,2,9,15,189
Moderate,2,37,8,64
Moderate,1,32,5,54
Unhealthy,4,198,3,188
Unhealthy for Sensitive Groups,7,13,5,139
Moderate,1,26,3,55
Unhealthy for Sensitive Groups,1,46,0,145
Moderate,1,18,10,80
Good,1,36,1,50
Good,1,25,3,35
Moderate,1,27,0,55
Good,1,12,1,13
Good,1,23,3,48
Good,0,28,0,13
Good,1,29,3,50
Good,0,26,0,20
Unhealthy for Sensitive Groups,2,107,5,86
Good,0,22,0,20
Moderate,3,7,25,76
Good,1,32,0,47
Unhealthy for Sensitive Groups,2,14,1,104
Moderate,1,16,5,60
Good,1,3,2,32
Good,1,28,1,15
Good,0,28,2,34
Good,1,28,1,19
Good,1,35,0,48
Good,1,29,1,39
Moderate,1,14,0,97
Moderate,1,37,0,75
Unhealthy,1,44,0,194
Unhealthy for Sensitive Groups,3,5,10,104
Moderate,1,40,3,57
Good,1,41,3,27
Good,1,16,7,37
Moderate,1,34,0,59
Good,1,29,2,20
Good,0,34,1,26
Moderate,1,41,0,70
Good,0,30,1,32
Hazardous,1,38,1,466
Hazardous,31,1,26,380
Very Unhealthy,12,5,14,222
Moderate,0,28,0,52
Moderate,1,39,0,76
Good,0,23,0,27
Moderate,1,26,2,59
Good,0,28,2,38
Moderate,1,23,6,56
Unhealthy for Sensitive Groups,1,18,0,127
Unhealthy for Sensitive Groups,1,117,1,78
Moderate,2,57,1,92
Unhealthy,5,170,5,182
Unhealthy for Sensitive Groups,2,32,7,124
Moderate,2,68,6,57
Moderate,1,26,0,68
Good,1,4,2,39
Good,1,33,0,50
Unhealthy for Sensitive Groups,1,33,6,103
Good,1,36,5,38
Moderate,1,38,1,61
Good,0,17,1,17
Good,0,4,0,21
Good,1,32,1,20
Unhealthy,3,119,1,151
Moderate,1,32,0,57
Good,1,38,0,35
Good,1,40,0,49
Unhealthy,1,42,0,171
Moderate,1,28,1,91
Moderate,2,4,5,72
Unhealthy,2,22,6,153
Moderate,1,25,2,59
Unhealthy,0,31,1,157
Moderate,1,32,2,73
Moderate,2,3,6,71
Good,0,17,0,11
Good,1,2,0,46
Good,1,12,9,35
Good,0,24,1,16
Good,1,14,2,45
Moderate,1,40,0,61
Moderate,1,12,6,65
Unhealthy for Sensitive Groups,1,34,4,112
Good,0,19,0,11
Good,0,31,2,22
Unhealthy,4,4,19,152
Good,1,21,1,31
Good,1,12,1,37
Good,1,12,0,13
Good,1,8,3,41
Unhealthy for Sensitive Groups,2,28,9,103
Moderate,1,35,0,52
Good,0,30,2,13
Moderate,0,25,0,73
Good,1,2,4,42
Good,0,35,0,30
Good,1,25,5,46
Moderate,1,27,4,93
Moderate,2,13,0,63
Unhealthy,0,39,0,160
Good,1,26,1,39
Moderate,1,18,6,56
Unhealthy for Sensitive Groups,2,13,2,105
Moderate,2,90,1,93
Good,0,22,0,45
Moderate,1,8,1,54
Good,0,29,2,36
Good,1,35,5,50
Unhealthy,1,34,0,153
Good,1,36,5,48
Good,0,24,0,24
Unhealthy for Sensitive Groups,3,44,4,132
Unhealthy,3,179,2,166
Unhealthy for Sensitive Groups,1,36,1,124
Very Unhealthy,0,34,0,202
Unhealthy,1,26,1,151
Moderate,2,45,0,92
Good,1,5,0,39
Good,1,39,1,48
Moderate,2,17,0,52
Unhealthy for Sensitive Groups,1,16,2,104
Moderate,1,27,1,51
Moderate,1,49,0,91
Unhealthy,1,32,0,167
Good,0,20,0,38
Moderate,0,25,0,57
Good,1,27,5,41
Moderate,1,11,12,78
Good,1,46,2,47
Good,0,29,3,18
Moderate,1,34,1,60
Good,1,32,3,37
Moderate,2,2,9,61
Moderate,2,20,5,67
Good,1,17,2,46
Moderate,2,13,27,79
Moderate,1,24,9,53
Moderate,1,18,0,81
Good,1,38,2,39
Good,1,34,2,27
Good,1,41,0,42
Good,2,36,5,41
Good,1,36,0,47
Good,1,27,4,32
Good,0,6,1,25
Good,1,35,0,15
Good,1,26,3,36
Moderate,2,26,7,73
Moderate,1,22,11,52
Good,1,32,1,35
Moderate,3,9,11,94
Moderate,3,18,0,71
Moderate,2,3,5,61
Moderate,2,22,1,80
Unhealthy for Sensitive Groups,1,60,0,101
Good,1,45,0,48
Unhealthy,1,33,0,156
Good,0,28,0,30
Good,0,27,0,10
Moderate,0,30,0,57
Moderate,1,20,0,55
Moderate,1,35,0,54
Moderate,1,45,4,69
Moderate,3,32,2,76
Moderate,3,29,2,74
Good,1,2,0,36
Moderate,1,7,4,51
Good,1,18,1,41
Moderate,1,44,4,56
Moderate,1,43,5,58
Good,1,32,7,45
Good,1,41,0,50
Moderate,0,24,0,68
Good,1,46,2,31
Moderate,1,44,2,67
Moderate,3,7,8,77
Moderate,1,33,1,63
Good,0,19,0,42
Moderate,1,27,0,59
Good,0,17,0,35
Hazardous,2,111,1,391
Moderate,2,60,3,55
Good,1,48,0,12
Good,1,32,0,26
Moderate,0,32,1,56
Good,1,32,1,30
Good,0,29,2,29
Good,0,19,0,28
Good,1,25,2,34
Good,0,8,0,18
Moderate,1,32,1,68
Moderate,1,22,1,89
Very Unhealthy,3,152,1,208
Moderate,2,29,12,58
Moderate,1,40,6,53
Good,1,35,3,34
Good,1,25,2,37
Good,1,32,3,35
Good,1,25,2,39
Unhealthy for Sensitive Groups,1,49,0,122
Good,1,40,2,34
Moderate,0,32,1,58
Hazardous,1,48,0,260
Good,0,16,1,30
Unhealthy,0,38,0,193
Good,1,36,0,30
Good,1,30,0,49
Good,1,14,1,32
Good,1,22,4,28
Good,1,21,1,13
Moderate,2,40,0,63
Good,1,1,0,30
Good,1,30,1,32
Good,1,5,4,48
Moderate,1,62,4,80
Unhealthy,14,1,23,182
Hazardous,1,60,0,284
Moderate,1,44,5,62
Unhealthy,2,133,2,191
Unhealthy,1,41,0,150
Moderate,0,27,0,53
Very Unhealthy,1,48,1,226
Good,0,12,0,16
Good,1,34,1,17
Good,1,27,2,30
Moderate,2,26,12,55
Moderate,1,20,1,73
Good,1,46,0,14
Good,1,16,0,48
Unhealthy for Sensitive Groups,1,25,1,103
Good,0,30,2,46
Good,1,43,2,39
Moderate,1,44,4,52
Hazardous,1,40,0,464
Good,0,16,0,36
Good,0,39,0,23
Moderate,1,25,9,58
Good,0,7,1,24
Moderate,1,4,3,52
Moderate,1,21,6,56
Moderate,2,15,17,76
Moderate,3,23,8,95
Good,1,3,0,25
Good,1,30,1,40
Moderate,1,46,1,78
Good,1,47,2,27
Good,1,31,1,42
Good,1,14,2,39
Good,1,30,1,37
Good,1,23,0,50
Unhealthy,2,98,1,190
Moderate,1,18,13,62
Unhealthy,0,29,0,152
Moderate,1,31,0,56
Unhealthy for Sensitive Groups,2,145,3,82
Very Unhealthy,3,136,3,292
Good,0,14,0,20
Unhealthy,0,29,0,153
Good,0,9,1,25
Good,1,19,2,38
Unhealthy,0,25,0,158
Good,1,34,0,10
Good,1,29,0,46
Unhealthy,3,159,1,173
Good,1,33,0,44
Good,1,39,0,12
Unhealthy for Sensitive Groups,3,18,2,101
Good,1,37,0,30
Moderate,1,22,3,60
Good,0,17,0,23
Moderate,1,24,5,93
Good,1,28,8,25
Moderate,2,22,3,91
Good,1,22,1,39
Moderate,1,10,5,66
Good,0,5,0,6
Good,1,27,10,44
Unhealthy,3,153,1,152
Good,1,42,0,12
Moderate,1,32,4,62
Good,1,22,6,35
Good,1,25,3,27
Good,0,18,0,19
Unhealthy,3,91,3,198
Unhealthy,1,51,1,175
Good,1,33,1,28
Unhealthy,1,46,0,194
Hazardous,1,47,1,500
Good,1,3,3,37
Good,0,30,2,27
Moderate,1,10,16,61
Good,1,24,3,32
Moderate,1,45,0,84
Good,1,33,1,21
Good,1,44,0,15
Moderate,1,39,1,68
Moderate,2,21,11,57
Good,1,29,2,27
Good,1,30,3,25
Good,1,22,1,35
Good,1,21,4,37
Moderate,3,8,1,76
Moderate,3,46,3,90
Good,1,26,9,34
Moderate,1,30,1,65
Good,0,28,2,29
Good,1,27,8,37
Moderate,1,29,3,72
Unhealthy,7,0,21,169
Good,1,25,3,36
Good,1,37,2,46
Moderate,1,71,3,49
Good,0,29,2,26
Moderate,1,43,6,77
Good,0,24,0,48
Moderate,1,19,10,57
Moderate,1,38,2,53
Good,0,25,3,30
Good,0,30,1,31
Good,0,19,0,27
Good,0,28,2,30
Unhealthy for Sensitive Groups,1,30,0,120
Good,0,24,2,25
Moderate,2,22,14,57
Moderate,1,28,1,66
Moderate,1,21,0,70
Unhealthy for Sensitive Groups,1,49,0,105
Good,1,12,0,11
Good,0,25,0,12
Unhealthy for Sensitive Groups,0,30,0,129
Good,1,27,3,32
Good,1,28,0,42
Good,1,13,1,34
Moderate,2,8,4,60
Good,0,33,1,26
Good,1,12,13,37
Good,1,20,0,50
Good,1,26,2,46
Good,0,28,1,31
Moderate,9,95,0,46
Unhealthy,4,192,6,124
Good,1,24,2,49
Good,0,31,2,31
Good,0,29,3,34
Good,0,27,3,32
Unhealthy for Sensitive Groups,1,16,0,100
Unhealthy,2,21,3,176
Good,1,20,3,35
Good,1,32,1,28
Moderate,2,47,0,98
Good,1,29,0,32
Unhealthy,1,35,0,164
Moderate,1,29,1,61
Good,1,12,0,16
Unhealthy,1,49,1,167
Unhealthy for Sensitive Groups,4,14,7,117
Moderate,1,25,2,56
Good,0,23,0,50
Unhealthy for Sensitive Groups,1,35,0,119
Unhealthy,1,45,0,180
Unhealthy,1,36,0,171
Hazardous,1,53,1,362
Moderate,1,18,14,53
Good,1,24,11,50
Good,1,26,3,40
Moderate,1,19,0,55
Good,1,18,1,34
Unhealthy,3,172,5,145
Moderate,1,22,6,69
Good,0,38,0,34
Unhealthy,1,39,1,184
Moderate,2,23,1,74
Unhealthy for Sensitive Groups,1,17,4,118
Moderate,1,52,1,36
Hazardous,1,73,1,500
Good,0,30,1,25
Very Unhealthy,4,207,3,150
Good,0,28,2,35
Good,0,28,2,34
Moderate,2,35,8,73
Good,1,38,0,20
Moderate,0,22,0,70
Good,1,40,1,24
Hazardous,1,43,0,443
Good,0,27,2,28
Moderate,1,27,12,52
Moderate,2,20,20,70
Good,0,33,0,5
Moderate,1,59,1,23
Good,0,30,1,24
Unhealthy,4,169,3,150
Good,1,45,0,16
Good,1,44,0,22
Moderate,1,27,11,61
Moderate,0,21,0,58
Good,1,44,0,32
Good,0,18,0,6
Moderate,0,22,0,65
Good,0,20,0,20
Good,0,31,0,30
Unhealthy for Sensitive Groups,3,138,2,112
Good,1,19,1,39
Good,0,17,0,44
Moderate,1,74,1,35
Moderate,0,23,0,51
Unhealthy for Sensitive Groups,5,16,2,125
Moderate,0,22,0,95
Hazardous,1,40,0,376
Good,1,30,8,40
Unhealthy for Sensitive Groups,0,23,0,108
Moderate,0,19,0,72
Moderate,1,37,1,75
Good,0,14,0,20
Moderate,1,41,0,64
Good,1,37,0,30
Good,0,21,1,40
Good,1,35,0,15
Good,1,17,8,33
Moderate,1,30,3,59
Good,1,48,0,35
Unhealthy for Sensitive Groups,0,22,0,104
Good,1,30,0,10
Good,1,23,4,50
Good,1,32,1,29
Good,1,32,0,42
Good,1,21,4,46
Very Unhealthy,5,130,9,230
Good,1,39,0,20
Moderate,1,28,2,72
Moderate,2,6,0,59
Moderate,0,26,0,69
Moderate,1,38,0,78
Good,1,28,0,29
Good,1,34,1,24
Good,1,26,2,36
Good,0,30,1,27
Moderate,1,36,1,52
Moderate,0,24,0,74
Good,1,33,1,48
Moderate,0,21,0,54
Good,1,33,0,9
Moderate,0,21,0,61
Good,1,8,3,37
Moderate,1,30,6,60
Moderate,2,5,4,55
Moderate,2,14,19,58
Good,1,17,0,12
Good,0,15,2,34
Good,0,28,2,41
Good,1,15,1,31
Good,1,8,0,24
Moderate,1,78,3,51
Good,1,43,0,30
Hazardous,1,54,1,335
Unhealthy,1,30,0,150
Unhealthy,6,16,5,159
Good,1,31,2,25
Unhealthy for Sensitive Groups,2,116,0,64
Moderate,2,10,1,84
Good,0,16,0,16
Good,0,14,1,28
Moderate,1,31,0,59
Moderate,1,34,1,51
Good,1,17,3,36
Unhealthy for Sensitive Groups,1,31,0,139
Hazardous,1,49,1,493
Unhealthy,1,59,1,174
Unhealthy,5,124,10,156
Unhealthy,10,79,25,162
Moderate,2,9,9,95
Unhealthy for Sensitive Groups,1,31,0,130
Moderate,2,51,2,93
Good,1,30,3,43
Good,1,23,3,34
Unhealthy,6,10,3,171
Moderate,2,79,0,95
Good,1,32,0,24
Hazardous,2,95,2,478
Moderate,1,32,0,59
Good,1,24,0,19
Moderate,1,36,1,78
Moderate,1,27,0,59
Unhealthy for Sensitive Groups,2,135,1,86
Hazardous,3,53,8,500
Good,1,30,2,14
Very Unhealthy,3,201,4,142
Moderate,1,40,1,84
Good,1,21,0,23
Unhealthy,3,168,2,146
Unhealthy for Sensitive Groups,1,36,0,144
Good,1,37,1,38
Moderate,1,75,1,34
Moderate,1,6,14,54
Moderate,1,27,2,65
Good,1,23,5,39
Good,1,31,5,37
Good,0,20,1,36
Moderate,1,31,6,53
Unhealthy for Sensitive Groups,1,29,2,112
Unhealthy for Sensitive Groups,0,31,0,130
Good,1,40,2,23
Moderate,1,37,6,59
Good,1,29,2,17
Moderate,2,17,0,62
Moderate,2,36,0,79
Moderate,2,23,1,65
Good,0,19,0,19
Moderate,1,57,1,53
Good,1,35,2,44
Moderate,1,31,0,78
Moderate,1,25,1,56
Unhealthy,2,20,3,171
Unhealthy for Sensitive Groups,4,7,8,121
Good,1,14,0,3
Moderate,1,23,10,95
Moderate,1,33,3,52
Moderate,1,36,2,67
Good,0,34,2,32
Moderate,1,42,1,72
Good,1,7,1,47
Good,0,19,0,22
Good,0,11,0,41
Unhealthy,4,178,2,170
Unhealthy,2,134,1,159
Moderate,2,33,5,89
Unhealthy,3,91,2,155
Good,1,36,0,28
Moderate,1,23,2,70
Good,1,32,2,32
Moderate,1,17,7,62
Moderate,1,39,1,61
Unhealthy for Sensitive Groups,3,48,2,142
Good,1,29,3,40
Good,1,19,4,30
Moderate,0,24,0,73
Unhealthy for Sensitive Groups,1,34,6,104
Moderate,1,23,4,51
Moderate,1,21,1,59
Unhealthy for Sensitive Groups,2,28,8,106
Unhealthy for Sensitive Groups,0,29,0,140
Hazardous,3,113,3,326
Moderate,2,34,1,92
Unhealthy for Sensitive Groups,2,27,2,118
Moderate,1,54,2,18
Unhealthy,3,164,1,138
Unhealthy,1,36,0,195
Moderate,2,34,1,62
Moderate,1,40,0,52
Good,0,33,0,32
Moderate,2,30,11,54
Good,1,18,9,20
Good,0,31,2,21
Good,1,22,7,50
Moderate,1,36,1,53
Good,1,44,1,16
Good,1,35,0,37
Moderate,1,30,3,54
Unhealthy,1,42,0,197
Unhealthy,1,32,1,161
Unhealthy,1,36,0,157
Unhealthy,1,38,0,158
Moderate,0,23,0,81
Moderate,1,21,0,54
Moderate,2,17,15,58
Unhealthy,0,25,0,163
Unhealthy,1,33,0,151
Hazardous,1,44,0,356
Moderate,1,40,1,71
Good,1,7,6,40
Unhealthy,2,108,1,186
Unhealthy for Sensitive Groups,1,62,0,101
Unhealthy,7,9,18,191
Unhealthy,1,45,0,160
Good,1,38,0,15
Moderate,1,39,0,89
Moderate,1,13,0,56
Moderate,1,35,2,51
Moderate,1,8,13,74
Good,1,48,3,36
Good,0,12,0,11
Good,1,28,10,42
Unhealthy,1,55,0,185
Good,1,27,4,19
Good,0,15,0,10
Moderate,1,42,2,82
Good,1,33,2,24
Moderate,2,10,8,67
Good,1,14,0,40
Good,0,33,1,32
Moderate,4,20,0,90
Good,2,21,0,43
Good,1,24,4,44
Good,1,15,1,35
Hazardous,1,42,0,435
Unhealthy,0,33,0,170
Moderate,1,29,0,55
Good,1,36,0,47
Good,0,15,0,25
Unhealthy,0,27,0,150
Moderate,1,22,1,65
Unhealthy,1,42,0,168
Moderate,3,15,1,75
Good,1,37,0,13
Unhealthy,1,41,0,151
Good,0,21,0,50
Unhealthy for Sensitive Groups,1,27,3,112
Good,0,23,0,49
Good,1,17,3,34
Good,1,30,5,49
Unhealthy for Sensitive Groups,3,5,9,109
Moderate,1,26,7,53
Moderate,1,7,14,72
Good,1,15,0,48
Unhealthy,4,190,1,164
Moderate,0,27,0,54
Unhealthy,3,123,1,167
Good,1,25,4,43
Good,1,26,4,41
Good,1,40,2,20
Moderate,1,8,4,61
Good,1,35,3,17
Moderate,1,20,6,60
Moderate,1,26,1,62
Good,0,28,2,20
Good,1,28,4,42
Moderate,1,36,3,67
Good,1,30,3,22
Good,1,14,3,50
Moderate,1,36,1,52
Moderate,1,28,2,58
Moderate,1,14,10,58
Good,0,19,0,33
Unhealthy,2,145,1,175
Unhealthy for Sensitive Groups,4,25,4,138
Unhealthy,1,38,0,162
Good,1,36,0,33
Good,0,23,0,44
Unhealthy for Sensitive Groups,2,59,1,105
Very Unhealthy,1,43,0,213
Unhealthy,1,36,0,169
Very Unhealthy,2,91,1,265
Good,1,31,6,49
Moderate,1,24,0,68
Moderate,1,39,0,69
Moderate,1,29,1,54
Good,1,23,6,18
Moderate,1,24,3,63
Good,1,31,1,21
Good,0,33,0,34
Good,0,34,1,31
Good,1,2,0,46
Good,0,11,2,32
Moderate,1,48,1,58
Unhealthy,4,176,5,129
Good,0,16,0,36
Good,1,25,11,49
Moderate,2,16,4,59
Unhealthy,2,151,1,180
Good,0,27,0,13
Unhealthy,3,176,2,194
Moderate,2,17,1,74
Good,1,35,1,13
Good,1,29,2,20
Moderate,0,25,0,54
Moderate,2,18,21,58
Moderate,1,25,1,89
Good,0,35,1,42
Good,1,25,7,36
Moderate,0,25,0,91
Good,0,27,0,30
Very Unhealthy,7,206,9,167
Moderate,1,38,2,67
Moderate,1,22,5,51
Unhealthy,1,37,0,162
Unhealthy,2,106,1,187
Unhealthy,3,157,1,126
Unhealthy,1,71,1,163
Moderate,1,36,0,87
Good,0,16,0,32
Moderate,1,38,2,55
Moderate,0,25,0,85
Good,1,22,5,45
Moderate,1,40,1,55
Unhealthy for Sensitive Groups,3,8,37,114
Good,1,31,1,50
Good,0,13,1,12
Moderate,3,7,8,88
Good,1,33,2,30
Good,0,38,1,19
Good,1,33,2,23
Good,1,21,2,47
Hazardous,1,45,0,364
Good,1,33,2,29
Good,1,22,4,40
Unhealthy,3,5,15,195
Moderate,4,99,5,97
Unhealthy,4,183,2,115
Moderate,1,22,0,66
Good,0,15,0,15
Moderate,1,28,1,52
Moderate,1,23,2,70
Good,1,27,4,38
Good,1,14,0,32
Moderate,3,0,10,72
Hazardous,1,45,0,386
Good,0,28,1,29
Moderate,1,36,0,67
Moderate,1,25,1,57
Good,1,11,0,31
Moderate,1,37,0,60
Moderate,1,22,0,54
Good,1,49,0,36
Unhealthy for Sensitive Groups,1,32,0,148
Good,1,32,1,15
Good,0,16,0,17
Good,1,33,0,10
Good,1,44,4,31
Moderate,1,24,10,61
Good,1,25,0,19
Good,1,27,5,39
Moderate,0,34,1,52
Moderate,0,24,0,57
Unhealthy,2,163,1,191
Good,1,28,2,25
Moderate,2,40,1,85
Good,1,31,0,31
Moderate,1,28,0,58
Good,1,23,3,38
Good,0,33,0,21
Good,1,23,3,38
Moderate,1,6,5,52
Good,1,48,2,34
Moderate,2,27,0,79
Good,0,29,1,40
Good,1,36,0,24
Good,1,39,4,38
Unhealthy,1,61,0,151
Moderate,1,38,0,70
Unhealthy for Sensitive Groups,0,43,0,102
Good,1,25,0,34
Unhealthy for Sensitive Groups,2,71,3,110
Unhealthy for Sensitive Groups,2,42,8,111
Moderate,2,10,27,77
Moderate,1,25,0,66
Moderate,1,6,1,52
Moderate,1,12,0,55
Good,1,33,3,44
Moderate,1,32,1,66
Moderate,0,26,0,55
Unhealthy for Sensitive Groups,2,110,1,59
Hazardous,1,102,1,400
Good,1,37,1,30
Unhealthy,2,84,2,157
Good,0,31,1,39
Unhealthy,3,102,4,179
Moderate,1,27,2,51
Moderate,1,27,2,52
Good,0,27,3,36
Good,0,29,1,50
Moderate,1,28,9,51
Moderate,3,5,9,79
Good,1,18,5,48
Moderate,1,30,6,57
Moderate,3,11,11,99
Good,0,32,0,21
Good,1,24,2,17
Good,1,32,2,26
Moderate,1,7,4,51
Moderate,1,26,0,72
Good,1,29,2,23
Unhealthy,2,172,4,150
Moderate,1,34,0,81
Good,0,32,1,22
Moderate,0,40,0,74
Unhealthy for Sensitive Groups,1,30,0,130
Moderate,2,1,3,55
Good,1,28,4,38
Good,1,31,2,25
Moderate,2,1,5,56
Good,1,40,1,30
Good,1,32,8,45
Hazardous,1,82,1,301
Moderate,2,41,5,59
Moderate,0,37,0,78
Good,1,27,2,28
Good,1,44,0,33
Good,1,2,0,13
Moderate,1,12,4,51
Good,0,30,2,26
Good,1,49,0,47
Good,1,19,4,46
Very Unhealthy,3,103,1,217
Good,1,38,1,36
Good,0,13,0,32
Moderate,2,5,15,64
Moderate,1,24,4,58
Unhealthy,4,17,2,157
Moderate,1,9,15,84
Moderate,2,9,28,78
Good,1,31,0,28
Good,1,28,4,40
Good,0,38,1,19
Moderate,1,21,5,51
Good,1,17,4,43
Good,0,28,1,37
Moderate,1,34,3,72
Moderate,2,12,15,66
Moderate,2,5,14,75
Good,0,39,0,19
Good,1,8,3,44
Moderate,1,6,2,57
Moderate,2,1,6,59
Good,1,25,1,32
Moderate,1,27,6,85
Unhealthy,1,24,2,150
Moderate,3,41,6,99
Good,1,34,2,27
Good,1,37,1,24
